scheduler,scenario_id,source,seed,vehicles,duration_s,generated_packets,delivered_packets,failed_attempts,deadline_dropped_packets,overflow_dropped_packets,remaining_packets,goodput_mbps,packet_delivery_ratio,scheduled_outage_fraction,availability_outage_fraction,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_miss_ratio,censored_packet_ratio,deadline_or_censored_ratio,delivered_before_expiry_ratio,undelivered_packets_at_disconnect,urgent_generated_packets,urgent_delivered_packets,urgent_packet_delivery_ratio,urgent_deadline_miss_ratio,bulk_generated_packets,bulk_delivered_packets,bulk_packet_delivery_ratio,bulk_deadline_miss_ratio,jain_fairness,demand_normalized_jain_fairness,mean_scheduled_snr_db,mean_scheduled_ber,mean_scheduled_per,mean_scheduled_relative_power,switch_count,study,setting,prediction_horizon_s,slot_duration_s,offered_load,traffic_model,traffic_class_mode,packet_bits,deadline_s,reference_snr_db,field_of_view_deg,outage_mode,sensing_model,sensing_covariance_aware,diagnostic_quick_run
reactive_greedy,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,5455,4061,398,1124,0,270,4.061,0.7444546287809349,0.0,0.2,326.98842649593695,300.00000000000006,900.0,1100.0,0.2060494958753437,0.04949587534372136,0.25554537121906507,0.8212335692618807,5,0,0,0.0,0.0,0,0,0.0,0.0,0.4805080500008377,0.7202801200763456,11.514806994307957,8.282202453679514e-06,0.08413769606842544,0.2551977861076316,101,offered_load,load=1.1,1.0,0.1,1.1,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
proportional_fair,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,5455,928,2,3987,0,540,0.928,0.1701191567369386,0.0,0.2,685.1293103448276,500.0,1500.0,1700.0000000000002,0.7308890925756187,0.09899175068744272,0.8298808432630614,0.18766430738119314,5,0,0,0.0,0.0,0,0,0.0,0.0,0.6497638413134347,0.4477881453612897,16.539932117526238,5.827147780236496e-08,0.0006936531361500334,0.7736063141250084,39,offered_load,load=1.1,1.0,0.1,1.1,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
kalman_predictive,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,5455,3752,271,1315,0,388,3.752,0.6878093492208983,0.0,0.2,743.5501066098082,800.0,1200.0000000000002,1300.0,0.24106324472960586,0.07112740604949587,0.31219065077910174,0.7587462082912032,5,0,0,0.0,0.0,0,0,0.0,0.0,0.5251974969603656,0.7668233127144478,12.707537233988722,5.360424944177419e-06,0.0567622675782927,0.38562321390652,85,offered_load,load=1.1,1.0,0.1,1.1,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
link_lifetime,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,5455,3754,296,1279,0,422,3.754,0.6881759853345555,0.0,0.2,762.8929142248269,800.0,1200.0000000000002,1400.0000000000002,0.23446379468377634,0.0773602199816682,0.31182401466544457,0.7591506572295248,5,0,0,0.0,0.0,0,0,0.0,0.0,0.5172581038846159,0.7656248518279494,12.67129931726285,5.955735979653811e-06,0.06165733757312901,0.38599558146657675,81,offered_load,load=1.1,1.0,0.1,1.1,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
oracle,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,5455,3765,280,1339,0,351,3.765,0.69019248395967,0.0,0.2,746.0823373173971,800.0,1200.0000000000002,1400.0000000000002,0.2454628780934922,0.06434463794683776,0.30980751604032997,0.7613751263902933,5,0,0,0.0,0.0,0,0,0.0,0.0,0.5127517620927464,0.7577065071702304,12.636559646006592,5.6615392593221945e-06,0.058925743196115356,0.3715648243936359,82,offered_load,load=1.1,1.0,0.1,1.1,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
reactive_greedy,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,2802,327,610,0,175,2.802,0.7811541678282687,0.0,0.2,241.50606709493218,200.0,700.0000000000001,1000.0,0.1700585447449122,0.04878728742681907,0.21884583217173126,0.8629504157684016,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5035101783242929,0.7796453120072867,11.762863169548151,7.77462839382546e-06,0.07801228266788594,0.2752991816577234,107,prediction_horizon,horizon_s=0.1,0.1,0.1,0.72,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
proportional_fair,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,765,1,2506,0,316,0.765,0.2132701421800948,0.0,0.2,673.9869281045752,600.0000000000001,1500.0,1636.0000000000014,0.698633955952049,0.08809590186785615,0.7867298578199052,0.2356020942408377,4,0,0,0.0,0.0,0,0,0.0,0.0,0.6380247371203985,0.48797730551437085,16.41599630813436,5.6662230047583626e-08,0.0006731104051231932,0.7486412166036585,42,prediction_horizon,horizon_s=0.1,0.1,0.1,0.72,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
kalman_predictive,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,2708,247,655,0,224,2.708,0.7549484248675774,0.0,0.2,527.4741506646972,500.0,900.0,1200.0000000000002,0.18260384722609424,0.06244772790632841,0.24505157513242265,0.8340006159531875,4,0,0,0.0,0.0,0,0,0.0,0.0,0.521499914307272,0.7771860449105963,13.647348438073472,4.791239543676795e-06,0.050161798011568434,0.47893919959936226,87,prediction_horizon,horizon_s=0.1,0.1,0.1,0.72,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
link_lifetime,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,2652,249,739,0,196,2.652,0.7393364928909952,0.0,0.2,536.4630467571644,500.0,1000.0,1200.0000000000002,0.2060217451909674,0.05464176191803736,0.26066350710900477,0.8167539267015707,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5114170179440511,0.7692914902998341,13.75696202757198,4.5707374359223804e-06,0.04765984060098601,0.4912156320774674,86,prediction_horizon,horizon_s=0.1,0.1,0.1,0.72,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
oracle,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,2652,249,739,0,196,2.652,0.7393364928909952,0.0,0.2,536.4630467571644,500.0,1000.0,1200.0000000000002,0.2060217451909674,0.05464176191803736,0.26066350710900477,0.8167539267015707,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5114170179440511,0.7692914902998341,13.75696202757198,4.5707374359223804e-06,0.04765984060098601,0.4912156320774674,86,prediction_horizon,horizon_s=0.1,0.1,0.1,0.72,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
reactive_greedy,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,2802,327,610,0,175,2.802,0.7811541678282687,0.0,0.2,241.50606709493218,200.0,700.0000000000001,1000.0,0.1700585447449122,0.04878728742681907,0.21884583217173126,0.8629504157684016,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5035101783242929,0.7796453120072867,11.762863169548151,7.77462839382546e-06,0.07801228266788594,0.2752991816577234,107,prediction_horizon,horizon_s=0.3,0.30000000000000004,0.1,0.72,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
proportional_fair,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,765,1,2506,0,316,0.765,0.2132701421800948,0.0,0.2,673.9869281045752,600.0000000000001,1500.0,1636.0000000000014,0.698633955952049,0.08809590186785615,0.7867298578199052,0.2356020942408377,4,0,0,0.0,0.0,0,0,0.0,0.0,0.6380247371203985,0.48797730551437085,16.41599630813436,5.6662230047583626e-08,0.0006731104051231932,0.7486412166036585,42,prediction_horizon,horizon_s=0.3,0.30000000000000004,0.1,0.72,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
