predictor,scenario_id,actor_id,anchor_index,horizon_steps,ade_m,fde_m,range_mae_m,bearing_mae_deg,snr_mae_db,outage_f1,outage_auroc,link_lifetime_error_steps,link_lifetime_error_s,predicted_link_lifetime_s,actual_link_lifetime_s,actual_link_lifetime_censored,outage_positive_steps
constant_acceleration,52dafd686fe77b21,391,11,8,0.4996497084253262,1.1386103147220756,0.28239810394898546,112.37829186558713,22.308488370350283,0.9333333333333333,0.5,0.0,0.0,0.0,0.0,False,7
constant_acceleration,52dafd686fe77b21,395,11,8,0.4156181882316684,0.9287516267128172,0.4133572016286401,112.3431737788315,90.10856604029883,0.6666666666666666,0.5,2.0,0.2,0.0,0.2,False,4
constant_acceleration,52dafd686fe77b21,408,11,8,1.0766226875108151,2.532420052794425,1.0588463454782246,112.59179057770062,160.97438832757524,0.0,0.2857142857142857,8.0,0.8,0.8,0.0,False,7
oracle,52dafd686fe77b21,383,11,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,7
oracle,52dafd686fe77b21,387,11,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,False,5
oracle,52dafd686fe77b21,391,11,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,7
oracle,52dafd686fe77b21,395,11,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.2,False,4
oracle,52dafd686fe77b21,408,11,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,7
last_position,52dafd686fe77b21,383,12,7,0.010737375432556151,0.023663071106287396,0.0042824826281009365,86.31677088458306,157.86259230322887,0.0,0.5,7.0,0.7000000000000001,0.7000000000000001,0.0,False,6
last_position,52dafd686fe77b21,387,12,7,0.011694333107954832,0.0069580078125,0.006999559836317536,86.24783554869914,52.125212460124246,0.8333333333333334,0.5,0.0,0.0,0.0,0.0,False,5
last_position,52dafd686fe77b21,391,12,7,0.015920310213672496,0.04025359944426081,0.0057440188887599875,86.27730022591645,155.73036551770676,0.0,0.5,7.0,0.7000000000000001,0.7000000000000001,0.0,False,6
last_position,52dafd686fe77b21,395,12,7,0.2930086211509539,0.5738939677273561,0.2926889435261785,86.25474090618015,77.04551336428952,0.7272727272727273,0.5,1.0,0.1,0.0,0.1,False,4
last_position,52dafd686fe77b21,408,12,7,0.01230833722297865,0.03060850711388557,0.010651649246418973,86.26365182750713,25.78663083880277,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,False,6
constant_velocity,52dafd686fe77b21,383,12,7,0.08478248969989614,0.120361328125,0.013730086098345902,76.09264200503326,26.31230957214945,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,False,6
constant_velocity,52dafd686fe77b21,387,12,7,0.189399732851047,0.3144703972853024,0.14997239569179704,76.06457332290083,130.14522508158726,0.0,0.1,7.0,0.7000000000000001,0.7000000000000001,0.0,False,5
constant_velocity,52dafd686fe77b21,391,12,7,0.1452713316013289,0.2317644325544056,0.0712506119533637,76.07975706777927,25.495415280400323,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,False,6
constant_velocity,52dafd686fe77b21,395,12,7,0.2298781925451918,0.46162208539268357,0.2268376516356781,76.35264669486271,104.4199730884314,0.0,0.5833333333333334,6.0,0.6000000000000001,0.7000000000000001,0.1,False,4
constant_velocity,52dafd686fe77b21,408,12,7,0.16002129675458723,0.25361887000634853,0.1519258280127633,76.21279213363911,25.78663083880277,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,False,6
kalman_cv,52dafd686fe77b21,383,12,7,0.017153254038213484,0.004823537686537798,0.007404241676623029,87.49127763150908,26.31230957214945,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,False,6
kalman_cv,52dafd686fe77b21,387,12,7,0.013886411184695718,0.020581840532118895,0.009992825960050133,87.41597298948692,105.94726297906331,0.3333333333333333,0.9,0.0,0.0,0.0,0.0,False,5
kalman_cv,52dafd686fe77b21,391,12,7,0.031003634918331646,0.06214668256997966,0.0070102631188994225,87.4422132246067,126.28591350881406,0.2857142857142857,0.6666666666666666,0.0,0.0,0.0,0.0,False,6
kalman_cv,52dafd686fe77b21,395,12,7,0.21128535395099007,0.4116966198760013,0.2112113739601153,87.41842184308557,77.04551336428952,0.7272727272727273,0.5,1.0,0.1,0.0,0.1,False,4
kalman_cv,52dafd686fe77b21,408,12,7,0.037458713136964604,0.07382247714571424,0.03601884604209322,87.40740357195406,51.18623174331152,0.8333333333333334,0.4166666666666667,1.0,0.1,0.1,0.0,False,6
imm,52dafd686fe77b21,383,12,7,0.23131102894673491,0.5031974870574955,0.05556353707518026,76.73731179869533,26.31230957214945,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,False,6
imm,52dafd686fe77b21,387,12,7,0.42252031113411076,0.9638566297073378,0.3477028294349887,76.49419002956893,129.59903932744913,0.0,0.1,7.0,0.7000000000000001,0.7000000000000001,0.0,False,5
imm,52dafd686fe77b21,391,12,7,0.3656979194039304,0.8398784702738653,0.16796240969146453,76.60921590668188,25.495415280400323,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,False,6
imm,52dafd686fe77b21,395,12,7,0.45692242593945903,1.0163471078597415,0.4540400303122577,75.75267021791633,105.24606266356817,0.0,0.5833333333333334,6.0,0.6000000000000001,0.7000000000000001,0.1,False,4
imm,52dafd686fe77b21,408,12,7,0.46622283557415056,1.0812609531862654,0.4535644292715559,75.99897352152665,25.78663083880277,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,False,6
constant_acceleration,52dafd686fe77b21,383,12,7,0.44701681392570947,1.0079012395543627,0.1201387498611508,78.00504476446437,26.31230957214945,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,False,6
constant_acceleration,52dafd686fe77b21,387,12,7,0.8561953792170944,1.948387947461914,0.6843616371068307,77.80095795070403,155.2238281114423,0.0,0.1,6.0,0.6000000000000001,0.6000000000000001,0.0,False,5
constant_acceleration,52dafd686fe77b21,391,12,7,0.761235697727397,1.7409401874062718,0.31378508580364467,77.97241790252613,25.495415280400323,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,False,6
constant_acceleration,52dafd686fe77b21,395,12,7,0.7038933029961864,1.6235150110816225,0.6966069930575646,76.21680134559891,105.44773215616998,0.0,0.4166666666666667,6.0,0.6000000000000001,0.7000000000000001,0.1,False,4
constant_acceleration,52dafd686fe77b21,408,12,7,0.9692778334726787,2.236720482169016,0.9454875636526393,76.55554341049135,25.78663083880277,0.9230769230769231,0.5,0.0,0.0,0.0,0.0,False,6
oracle,52dafd686fe77b21,383,12,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,6
oracle,52dafd686fe77b21,387,12,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,5
oracle,52dafd686fe77b21,391,12,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,6
oracle,52dafd686fe77b21,395,12,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,False,4
oracle,52dafd686fe77b21,408,12,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,6
