predictor,scenario_id,actor_id,anchor_index,horizon_steps,ade_m,fde_m,range_mae_m,bearing_mae_deg,snr_mae_db,outage_f1,outage_auroc,link_lifetime_error_steps,link_lifetime_error_s,predicted_link_lifetime_s,actual_link_lifetime_s,actual_link_lifetime_censored,outage_positive_steps
kalman_cv,synthetic-20260827-v5-slots120-dt0.100000,vehicle-2,79,10,0.2372416882361689,0.3730844602069117,0.18282793490960358,0.09052084087470029,0.02050899002596083,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
kalman_cv,synthetic-20260827-v5-slots120-dt0.100000,vehicle-3,79,10,0.23905538571264998,0.40531496296174785,0.23488425966546558,0.06601562820566431,0.031115118018218445,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
kalman_cv,synthetic-20260827-v5-slots120-dt0.100000,vehicle-4,79,10,0.3140647257952343,0.5314635040491974,0.3078477151893992,0.04062990659732247,0.024184792048888328,1.0,nan,0.0,0.0,0.0,0.0,False,10
imm,synthetic-20260827-v5-slots120-dt0.100000,vehicle-0,79,10,0.0783300298451979,0.1441076877363812,0.055382418467021924,0.028433835825761394,0.004534757001455248,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
imm,synthetic-20260827-v5-slots120-dt0.100000,vehicle-1,79,10,0.20742996388678403,0.34964045087988777,0.20673238187869103,0.009264082887967453,0.045026327215645166,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
imm,synthetic-20260827-v5-slots120-dt0.100000,vehicle-2,79,10,0.12097183999527157,0.19070244955969093,0.09400671852748702,0.04526638258830499,0.010572081749694106,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
imm,synthetic-20260827-v5-slots120-dt0.100000,vehicle-3,79,10,0.12299971277605752,0.209118455213717,0.121041886130444,0.03290704723829956,0.016278445038233613,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
imm,synthetic-20260827-v5-slots120-dt0.100000,vehicle-4,79,10,0.16140901389994977,0.2736066240298599,0.15825290467188607,0.020957458431161584,0.012435829705107437,1.0,nan,0.0,0.0,0.0,0.0,False,10
constant_acceleration,synthetic-20260827-v5-slots120-dt0.100000,vehicle-0,79,10,0.005899387924646284,0.0069486197497118886,0.002853252185771282,0.0024136946535634834,0.00016149629334503147,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_acceleration,synthetic-20260827-v5-slots120-dt0.100000,vehicle-1,79,10,0.011332157188597548,0.02062249466164438,0.01120479803934984,0.0029627304766244645,0.0023216692242446157,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_acceleration,synthetic-20260827-v5-slots120-dt0.100000,vehicle-2,79,10,0.005350299572503911,0.009610414371771046,0.005257972602665006,0.00021412269193124938,0.000665356276002349,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_acceleration,synthetic-20260827-v5-slots120-dt0.100000,vehicle-3,79,10,0.007308656066064519,0.01412776988407265,0.007210665922598736,0.0009645860212101857,0.001434397920809971,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_acceleration,synthetic-20260827-v5-slots120-dt0.100000,vehicle-4,79,10,0.008769142894145557,0.01582659955549831,0.008665790354311299,0.0012564452827106885,0.0006821623278887579,1.0,nan,0.0,0.0,0.0,0.0,False,10
oracle,synthetic-20260827-v5-slots120-dt0.100000,vehicle-0,79,10,0.0,0.0,0.0,0.0,0.0,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
oracle,synthetic-20260827-v5-slots120-dt0.100000,vehicle-1,79,10,0.0,0.0,0.0,0.0,0.0,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
oracle,synthetic-20260827-v5-slots120-dt0.100000,vehicle-2,79,10,0.0,0.0,0.0,0.0,0.0,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
oracle,synthetic-20260827-v5-slots120-dt0.100000,vehicle-3,79,10,0.0,0.0,0.0,0.0,0.0,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
oracle,synthetic-20260827-v5-slots120-dt0.100000,vehicle-4,79,10,0.0,0.0,0.0,0.0,0.0,1.0,nan,0.0,0.0,0.0,0.0,False,10
last_position,synthetic-20260827-v5-slots120-dt0.100000,vehicle-0,84,10,1.151258806921208,2.110326039928121,1.1497606588540095,0.19785351607830315,0.11529131667903023,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
last_position,synthetic-20260827-v5-slots120-dt0.100000,vehicle-1,84,10,0.877313771351948,1.6565021027315967,0.8676364357116284,0.08456857990567164,0.18894071356778638,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
last_position,synthetic-20260827-v5-slots120-dt0.100000,vehicle-2,84,10,1.0779566672730465,1.9882509260035175,1.0778306322476,0.15062394916445412,0.13213860543159495,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
last_position,synthetic-20260827-v5-slots120-dt0.100000,vehicle-3,84,10,1.0201594109983425,1.8910010773261865,0.9712312119523467,0.22264231361849823,0.14514949963738227,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
last_position,synthetic-20260827-v5-slots120-dt0.100000,vehicle-4,84,10,0.9298840387382722,1.6440061938726018,0.9281695766728604,0.1398174842548014,0.0728669742917,1.0,nan,0.0,0.0,0.0,0.0,False,10
constant_velocity,synthetic-20260827-v5-slots120-dt0.100000,vehicle-0,84,10,0.04663084327277113,0.11273927379931102,0.02281724191840482,0.019034001015747974,0.0012888002897756933,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_velocity,synthetic-20260827-v5-slots120-dt0.100000,vehicle-1,84,10,0.09029158325315094,0.22569353764505404,0.08987939247797669,0.017611902578705856,0.019178676837508492,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_velocity,synthetic-20260827-v5-slots120-dt0.100000,vehicle-2,84,10,0.04453264728742766,0.1114152458090963,0.0417870799023035,0.00544138660022848,0.005183486994005193,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_velocity,synthetic-20260827-v5-slots120-dt0.100000,vehicle-3,84,10,0.05518788695714695,0.13812435674941256,0.055148108502787355,0.008452511473794982,0.008890856382028644,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_velocity,synthetic-20260827-v5-slots120-dt0.100000,vehicle-4,84,10,0.07053158544474034,0.1761941826071304,0.06935008256879201,0.011057279463768513,0.005439033422558026,1.0,nan,0.0,0.0,0.0,0.0,False,10
kalman_cv,synthetic-20260827-v5-slots120-dt0.100000,vehicle-0,84,10,0.20222336577177025,0.3506163538925363,0.1016061010245565,0.09150858181572599,0.00530659210747988,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
kalman_cv,synthetic-20260827-v5-slots120-dt0.100000,vehicle-1,84,10,0.40059565022275984,0.6779727290872682,0.39920281305207866,0.0600224534266658,0.08529660926668292,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
kalman_cv,synthetic-20260827-v5-slots120-dt0.100000,vehicle-2,84,10,0.19809104217436313,0.33017377573204565,0.1854446552175446,0.0344913559495614,0.022661985079389168,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
kalman_cv,synthetic-20260827-v5-slots120-dt0.100000,vehicle-3,84,10,0.24140081944163114,0.4096832419659589,0.23992329572053067,0.047424457078034214,0.03630878905369528,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
kalman_cv,synthetic-20260827-v5-slots120-dt0.100000,vehicle-4,84,10,0.3141879097770802,0.5311794188328034,0.3078506182805853,0.041642486725821264,0.024078876829434926,1.0,nan,0.0,0.0,0.0,0.0,False,10
