scheduler,scenario_id,source,seed,vehicles,duration_s,generated_packets,delivered_packets,failed_attempts,deadline_dropped_packets,overflow_dropped_packets,remaining_packets,goodput_mbps,packet_delivery_ratio,scheduled_outage_fraction,availability_outage_fraction,mean_latency_ms,p95_latency_ms,deadline_miss_ratio,jain_fairness,switch_count,prediction_horizon_steps
reactive_greedy,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2183,87,1178,0,152,2.183,0.6214062055223456,0.0,0.265,199.58772331653688,500.0,0.33532593225163676,0.4382262348734355,94,5
predictive_utility,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2274,611,1067,0,172,2.274,0.6473099914602903,0.0,0.265,304.4415127528584,734.999999999991,0.3037290065471107,0.47532247642036235,92,5
link_lifetime,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2284,710,1057,0,172,2.284,0.650156561343581,0.0,0.265,290.49912434325745,800.0,0.3008824366638201,0.47767594458703533,108,5
oracle,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2274,611,1067,0,172,2.274,0.6473099914602903,0.0,0.265,304.4415127528584,734.999999999991,0.3037290065471107,0.47532247642036235,92,5
reactive_greedy,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1392,373,1931,0,245,1.392,0.3901345291479821,0.0,0.45166666666666666,266.16379310344826,900.0,0.5411995515695067,0.3932490684591218,74,5
predictive_utility,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1419,457,1895,0,254,1.419,0.3977017937219731,0.0,0.45166666666666666,322.12825933756164,1000.0,0.531109865470852,0.4046053484252819,49,5
link_lifetime,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1474,660,1849,0,245,1.474,0.4131165919282511,0.0,0.45166666666666666,313.43283582089555,934.9999999999909,0.5182174887892377,0.4180192590739868,67,5
oracle,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1426,458,1895,0,247,1.426,0.39966367713004486,0.0,0.45166666666666666,326.71809256661993,1000.0,0.531109865470852,0.40583564011423806,49,5
reactive_greedy,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2745,52,801,0,94,2.745,0.7541208791208791,0.0,0.2966666666666667,209.39890710382514,500.0,0.22005494505494505,0.5043546039524268,115,5
predictive_utility,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2619,669,779,0,242,2.619,0.7195054945054945,0.0,0.2966666666666667,431.5005727376861,800.0,0.214010989010989,0.530652283147679,98,5
link_lifetime,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2741,721,773,0,126,2.741,0.753021978021978,0.0,0.2966666666666667,322.58299890550893,700.0000000000001,0.21236263736263736,0.5202869199422587,104,5
oracle,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2680,672,779,0,181,2.68,0.7362637362637363,0.0,0.2966666666666667,438.65671641791045,900.0,0.214010989010989,0.5235783001929595,99,5
reactive_greedy,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2158,213,1184,0,150,2.158,0.6179839633447881,0.0,0.2,234.6153846153846,600.0000000000001,0.33906071019473083,0.5191351322428104,114,5
predictive_utility,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2046,2359,1210,0,236,2.046,0.5859106529209622,0.0,0.2,568.377321603128,1000.0,0.3465063001145475,0.5157341369331055,93,5
link_lifetime,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2014,2573,1219,0,259,2.014,0.5767468499427262,0.0,0.2,554.369414101291,1000.0,0.3490836197021764,0.5138881181784205,88,5
oracle,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2046,2359,1210,0,236,2.046,0.5859106529209622,0.0,0.2,568.377321603128,1000.0,0.3465063001145475,0.5157341369331055,93,5
reactive_greedy,synthetic-20260836,controlled_synthetic_motion,20260836,5,12.0,3635,2502,567,1039,0,94,2.502,0.6883081155433287,0.0,0.4166666666666667,281.0951239008793,1000.0,0.2858321870701513,0.34117791326783375,57,5
predictive_utility,synthetic-20260836,controlled_synthetic_motion,20260836,5,12.0,3635,2554,1474,987,0,94,2.554,0.7026134800550207,0.0,0.4166666666666667,430.814408770556,1100.0,0.27152682255845945,0.35759385520524223,90,5
link_lifetime,synthetic-20260836,controlled_synthetic_motion,20260836,5,12.0,3635,2563,1632,974,0,98,2.563,0.7050894085281981,0.0,0.4166666666666667,437.4951229028482,1100.0,0.26795048143053646,0.353789984340855,84,5
oracle,synthetic-20260836,controlled_synthetic_motion,20260836,5,12.0,3635,2554,1474,987,0,94,2.554,0.7026134800550207,0.0,0.4166666666666667,430.814408770556,1100.0,0.27152682255845945,0.35759385520524223,90,5
reactive_greedy,synthetic-20260837,controlled_synthetic_motion,20260837,5,12.0,3554,1575,127,1631,0,348,1.575,0.44316263365222286,0.0,0.265,229.0793650793651,500.0,0.45891952729319074,0.7251519000477954,81,5
predictive_utility,synthetic-20260837,controlled_synthetic_motion,20260837,5,12.0,3554,1570,130,1636,0,348,1.57,0.441755768148565,0.0,0.265,282.80254777070064,800.0,0.4603263927968486,0.7309059746945045,70,5
link_lifetime,synthetic-20260837,controlled_synthetic_motion,20260837,5,12.0,3554,1676,1097,1530,0,348,1.676,0.47158131682611143,0.0,0.265,303.69928400954655,800.0,0.4305008441193022,0.7462008251048649,91,5
oracle,synthetic-20260837,controlled_synthetic_motion,20260837,5,12.0,3554,1570,130,1636,0,348,1.57,0.441755768148565,0.0,0.265,282.80254777070064,800.0,0.4603263927968486,0.7309059746945045,70,5
reactive_greedy,synthetic-20260838,controlled_synthetic_motion,20260838,5,12.0,3618,2609,359,899,0,110,2.609,0.7211166390270868,0.0,0.27666666666666667,280.7589114603296,900.0,0.24847982310668879,0.4608796272002952,92,5
predictive_utility,synthetic-20260838,controlled_synthetic_motion,20260838,5,12.0,3618,2651,797,858,0,109,2.651,0.7327252625760089,0.0,0.27666666666666667,376.0844964164466,1000.0,0.23714759535655058,0.48433806348192276,97,5
link_lifetime,synthetic-20260838,controlled_synthetic_motion,20260838,5,12.0,3618,2682,858,826,0,110,2.682,0.7412935323383084,0.0,0.27666666666666667,345.7867263236391,900.0,0.2283029297954671,0.47495135348567874,104,5
oracle,synthetic-20260838,controlled_synthetic_motion,20260838,5,12.0,3618,2651,797,858,0,109,2.651,0.7327252625760089,0.0,0.27666666666666667,376.0844964164466,1000.0,0.23714759535655058,0.48433806348192276,97,5
reactive_greedy,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2802,327,610,0,175,2.802,0.7811541678282687,0.0,0.2,241.50606709493218,700.0000000000001,0.1700585447449122,0.5035101783242929,107,10
predictive_utility,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2691,296,701,0,195,2.691,0.7502090883746864,0.0,0.2,543.2181345224824,1000.0,0.1954279342068581,0.5070686955069528,90,10
link_lifetime,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2822,354,580,0,185,2.822,0.7867298578199052,0.0,0.2,338.5896527285613,700.0000000000001,0.1616950097574575,0.5181981034654409,107,10
oracle,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2691,296,701,0,195,2.691,0.7502090883746864,0.0,0.2,543.2181345224824,1000.0,0.1954279342068581,0.5070686955069528,90,10
reactive_greedy,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1622,287,1624,0,260,1.622,0.46263548203080435,0.0,0.025,274.5992601726264,900.0,0.4632059326868226,0.6698332599225495,111,10
predictive_utility,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1640,2146,1580,0,286,1.64,0.4677695379349686,0.0,0.025,697.0121951219512,1300.0,0.450656018254421,0.8036165133393289,95,10
link_lifetime,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1653,2377,1589,0,264,1.653,0.4714774671990873,0.0,0.025,742.7102238354507,1300.0,0.4532230462065031,0.8323600057878744,86,10
oracle,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1649,2211,1592,0,265,1.649,0.47033656588705075,0.0,0.025,738.9326864766525,1300.0,0.4540787221905305,0.8022436970699175,90,10
reactive_greedy,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2224,124,1073,0,190,2.224,0.6377975336965873,0.0,0.18666666666666668,234.3974820143885,600.0000000000001,0.3077143676512762,0.6021773060524823,110,10
predictive_utility,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2248,1211,1035,0,204,2.248,0.644680240894752,0.0,0.18666666666666668,428.02491103202846,1000.0,0.2968167479208489,0.6397188707739788,89,10
link_lifetime,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2259,1496,1041,0,187,2.259,0.647834815027244,0.016666666666666666,0.18666666666666668,462.9039397963701,1100.0,0.29853742472039,0.6325750527912256,90,10
oracle,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2248,1211,1035,0,204,2.248,0.644680240894752,0.0,0.18666666666666668,428.02491103202846,1000.0,0.2968167479208489,0.6397188707739788,89,10
reactive_greedy,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2482,269,945,0,170,2.482,0.6900194606616625,0.0,0.2,269.5004029008864,794.9999999999818,0.2627189324437031,0.6490639115212268,119,10
predictive_utility,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2658,620,759,0,180,2.658,0.7389491242702252,0.0,0.2,415.8765989465764,1000.0,0.21100917431192662,0.7050798944919656,95,10
link_lifetime,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2699,697,721,0,177,2.699,0.7503475118154017,0.0,0.2,369.87773249351613,900.0,0.2004448151237142,0.7053783567221591,110,10
oracle,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2658,620,759,0,180,2.658,0.7389491242702252,0.0,0.2,415.8765989465764,1000.0,0.21100917431192662,0.7050798944919656,95,10
reactive_greedy,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3222,3,222,0,63,3.222,0.9187339606501284,0.0,0.023333333333333334,235.53693358162633,500.0,0.06330196749358426,0.6193447927778295,118,10
predictive_utility,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3292,21,139,0,76,3.292,0.9386940404904477,0.0,0.023333333333333334,292.4665856622114,600.0000000000001,0.039635015682919876,0.6493182234865688,118,10
link_lifetime,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3309,112,129,0,69,3.309,0.9435414884516681,0.0,0.023333333333333334,267.15019643396795,500.0,0.036783575705731396,0.6566923268611587,116,10
oracle,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3292,21,139,0,76,3.292,0.9386940404904477,0.0,0.023333333333333334,292.4665856622114,600.0000000000001,0.039635015682919876,0.6493182234865688,118,10
reactive_greedy,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2183,87,1178,0,152,2.183,0.6214062055223456,0.0,0.265,199.58772331653688,500.0,0.33532593225163676,0.4382262348734355,94,10
predictive_utility,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2221,627,1084,0,208,2.221,0.63222317107885,0.0,0.265,319.40567312021614,800.0,0.3085681753487048,0.47561110476364027,85,10
link_lifetime,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2261,682,1085,0,167,2.261,0.6436094506120126,0.0,0.265,290.3582485625829,800.0,0.30885283233703387,0.46708793736491705,99,10
oracle,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2257,627,1084,0,172,2.257,0.6424708226586963,0.0,0.265,318.29862649534783,800.0,0.3085681753487048,0.4695588410838833,87,10
reactive_greedy,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1392,373,1931,0,245,1.392,0.3901345291479821,0.0,0.45166666666666666,266.16379310344826,900.0,0.5411995515695067,0.3932490684591218,74,10
